IT Inventory Name,Type,Make,MODEL,Description,Retail Value,Payment Method,Assigned To,enCrypted,Status,Life Cycle,Purchase Date,Warranty Exp
LT006,Laptop,DELL,Inspiron 15 3000,"Processor: Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)
Operating System: Windows 11 Pro for business)
Windows 11 Home (S mode), English
Graphics Card: Intel® UHD Graphics 600
Display: 15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border
Memory: 4 GB, 1 x 4 GB, DDR4, 2400 MHz
Hard Drive: 128 GB, M.2, PCIe NVMe, SSD
Case: Carbon Black
Microsoft Office: No Microsoft Office Included
Security Software: No Anti-virus Required
Keyboard: Non-Backlit Keyboard, English
Ports: 
2 USB 3.2 Gen 1 ports
1 USB 2.0 port
1 Audio Jack
1 HDMI 1.4 port
HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output)",980,PO,,YES,DONATED,Warranty Expired,2015-01-03,2019-01-02
LT007,Laptop,DELL,Inspiron 15 3000,"Processor: Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)
Operating System: Windows 11 Pro for business)
Windows 11 Home (S mode), English
Graphics Card: Intel® UHD Graphics 600
Display: 15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border
Memory: 4 GB, 1 x 4 GB, DDR4, 2400 MHz
Hard Drive: 128 GB, M.2, PCIe NVMe, SSD
Case: Carbon Black
Microsoft Office: No Microsoft Office Included
Security Software: No Anti-virus Required
Keyboard: Non-Backlit Keyboard, English
Ports: 
2 USB 3.2 Gen 1 ports
1 USB 2.0 port
1 Audio Jack
1 HDMI 1.4 port
HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output)",980,PO,,YES,DONATED,Warranty Expired,2015-01-03,2019-01-02
LT008,Laptop,DELL,Inspiron 15 3000,"Processor: Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)
Operating System: Windows 11 Pro for business)
Windows 11 Home (S mode), English
Graphics Card: Intel® UHD Graphics 600
Display: 15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border
Memory: 4 GB, 1 x 4 GB, DDR4, 2400 MHz
Hard Drive: 128 GB, M.2, PCIe NVMe, SSD
Case: Carbon Black
Microsoft Office: No Microsoft Office Included
Security Software: No Anti-virus Required
Keyboard: Non-Backlit Keyboard, English
Ports: 
2 USB 3.2 Gen 1 ports
1 USB 2.0 port
1 Audio Jack
1 HDMI 1.4 port
HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output)",980,PO,,YES,DONATED,Warranty Expired,2015-01-03,2019-01-02
LT009,Laptop,DELL,Inspiron 15 3000,"Processor: Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)
Operating System: Windows 11 Pro for business)
Windows 11 Home (S mode), English
Graphics Card: Intel® UHD Graphics 600
Display: 15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border
Memory: 4 GB, 1 x 4 GB, DDR4, 2400 MHz
Hard Drive: 128 GB, M.2, PCIe NVMe, SSD
Case: Carbon Black
Microsoft Office: No Microsoft Office Included
Security Software: No Anti-virus Required
Keyboard: Non-Backlit Keyboard, English
Ports: 
2 USB 3.2 Gen 1 ports
1 USB 2.0 port
1 Audio Jack
1 HDMI 1.4 port
HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output)",1050,PO,,YES,DONATED,Warranty Expired,2015-01-03,2019-01-02
LT010,Laptop,DELL,Inspiron 15 3000,"Processor: Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)
Operating System: Windows 11 Pro for business)
Windows 11 Home (S mode), English
Graphics Card: Intel® UHD Graphics 600
Display: 15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border
Memory: 4 GB, 1 x 4 GB, DDR4, 2400 MHz
Hard Drive: 128 GB, M.2, PCIe NVMe, SSD
Case: Carbon Black
Microsoft Office: No Microsoft Office Included
Security Software: No Anti-virus Required
Keyboard: Non-Backlit Keyboard, English
Ports: 
2 USB 3.2 Gen 1 ports
1 USB 2.0 port
1 Audio Jack
1 HDMI 1.4 port
HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output)",980,PO,,YES,SCRAPPED,Warranty Expired,2015-01-03,2019-01-02
LT011,Laptop,DELL,Inspiron 15 3000,"Processor: Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)
Operating System: Windows 11 Pro for business)
Windows 11 Home (S mode), English
Graphics Card: Intel® UHD Graphics 600
Display: 15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border
Memory: 4 GB, 1 x 4 GB, DDR4, 2400 MHz
Hard Drive: 128 GB, M.2, PCIe NVMe, SSD
Case: Carbon Black
Microsoft Office: No Microsoft Office Included
Security Software: No Anti-virus Required
Keyboard: Non-Backlit Keyboard, English
Ports: 
2 USB 3.2 Gen 1 ports
1 USB 2.0 port
1 Audio Jack
1 HDMI 1.4 port
HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output)",980,PO,,YES,SCRAPPED,Warranty Expired,2015-01-03,2019-01-02
LT012,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black",,1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT013,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black",,1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT014,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT015,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT016,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT017,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT018,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT019,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT020,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT021,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT022,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT023,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT024,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT025,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT026,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
LT027,Laptop,IBM,"ThinkPad X1 Carbon Gen 9 Intel (14"") - Black","Processor: 11th Generation Intel® Core™ i5-1135G7 Processor (2.40 GHz up to 4.20 GHz)
Operating System: Windows 11 Pro 64
Graphics: Integrated Intel® Iris® Xe Graphics
Memory: 16 GB LPDDR4X-4266MHz (Soldered)
Storage: 512 GB SSD M.2 2280 PCIe TLC Opal
Display: 14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 400 nits, LED Backlight, Narrow Bezel, Low Power, Low Blue Light
Camera: 720P HD IR/RGB Hybrid with ThinkShutter and Human Presence Detection. Fingerprint Reader
Keyboard:Backlit, Black - English (US)
WLAN: Intel® Wi-Fi 6 AX201 2x2 AX & Bluetooth® 5.1 or above",1290,MASTERCARD,,YES,ASSIGNED,Close to Warranty Expiration,2018-12-20,2022-12-20
